beige,beige
light brown,beige
khaki,beige
sand,beige
fawn,beige
cocky,beige
black,black
dark,black
pitch black,black
blue,blue
navy,blue
indigo,blue
midnight blue,blue
navy blue,blue
St Pauls Blue,blue
light blue,blue
brown,brown
chestnut,brown
terra-cotta,brown
sepia,brown
gold,gold
golden,gold
amber,gold
gray,gray
grey,gray
ash,gray
smokey,gray
green,green
multicolored,multicolored
polychrome,multicolored
colorful,multicolored
multicolor,multicolored
multi color,multicolored
multi colored,multicolored
rainbow,multicolored
bright colors,multicolored
bright,multicolored
floral,floral
olive,olive
orange,orange
petrol,petrol
pink,pink
light red,pink
pinkish,pink
red,red
burgundy,red
scarlet,red
maroon,red
silver,silver
shiny,silver
metallic,silver
turquoise,turquoise
cyan,turquoise
aquamarine,turquoise
aqua,turquoise
violet,violet
purple,violet
lavender,violet
lilac,violet
plum,violet
mauve,violet
white,white
light,white
ivory,white
snow,white
off-white,white
cream,white
creamy,white
why,white
yellow,yellow
mustard,yellow
honey,yellow
